,Date,Close,Open,High,Low,Volume,Returns
221,2014-11-24,2553.57,2512.5,2556.0,2506.0,305050.0,1.32
222,2014-11-25,2540.66,2553.0,2554.0,2520.0,317990.0,-0.51
223,2014-11-26,2501.85,2530.0,2530.0,2497.5,314970.0,-1.53
224,2014-11-27,2515.24,2501.0,2533.5,2499.0,196850.0,0.54
225,2014-11-28,2560.1,2535.0,2561.0,2535.0,9430.0,1.78
226,2014-12-01,2576.58,2582.5,2601.5,2565.0,309410.0,0.64
227,2014-12-02,2595.65,2579.0,2600.0,2578.0,234200.0,0.74
228,2014-12-03,2573.62,2600.0,2606.5,2569.5,271360.0,-0.85
229,2014-12-04,2605.14,2596.0,2610.5,2583.0,298950.0,1.22
230,2014-12-05,2607.03,2608.0,2626.5,2590.5,298530.0,0.07
231,2014-12-08,2629.18,2615.0,2634.0,2605.0,254020.0,0.85
232,2014-12-09,2610.94,2612.5,2628.5,2600.5,244230.0,-0.69
233,2014-12-10,2624.74,2612.0,2632.0,2600.0,291080.0,0.53
234,2014-12-11,2655.71,2629.5,2667.0,2624.0,310290.0,1.18
235,2014-12-12,2676.22,2666.0,2689.5,2657.0,319680.0,0.77
236,2014-12-15,2697.99,2666.0,2712.5,2658.5,308400.0,0.81
237,2014-12-16,2747.04,2695.5,2770.0,2694.5,452920.0,1.82
238,2014-12-17,2708.64,2759.5,2760.0,2674.0,399940.0,-1.4
239,2014-12-18,2660.24,2705.5,2706.5,2651.5,414080.0,-1.79
240,2014-12-19,2664.62,2675.0,2677.5,2645.0,320610.0,0.16
241,2014-12-22,2664.69,2655.0,2671.0,2648.0,183210.0,0.0
242,2014-12-23,2709.85,2665.0,2714.0,2655.5,268460.0,1.69
243,2014-12-26,2680.09,2697.0,2699.5,2669.0,178830.0,-1.1
244,2014-12-29,2703.27,2673.5,2714.0,2668.5,196840.0,0.86
245,2014-12-30,2656.2,2706.0,2706.0,2652.5,19950.0,-1.74
246,2015-01-02,2713.63,2698.0,2727.5,2694.0,217780.0,2.16
247,2015-01-05,2744.45,2730.0,2749.0,2721.5,294080.0,1.14
248,2015-01-06,2714.68,2730.0,2741.0,2709.0,295100.0,-1.08
249,2015-01-07,2711.7,2706.5,2728.0,2691.0,299650.0,-0.11
250,2015-01-08,2687.29,2689.0,2719.5,2678.5,312520.0,-0.9
251,2015-01-09,2653.39,2682.5,2690.0,2643.5,328770.0,-1.26
252,2015-01-12,2678.03,2656.0,2690.0,2648.0,281200.0,0.93
253,2015-01-13,2645.5,2690.0,2697.0,2641.5,353510.0,-1.21
254,2015-01-14,2628.26,2665.0,2666.0,2617.0,303520.0,-0.65
255,2015-01-15,2645.4,2634.0,2655.5,2607.5,403930.0,0.65
256,2015-01-16,2630.36,2649.5,2651.5,2624.0,234740.0,-0.57
257,2015-01-19,2651.66,2637.0,2674.0,2627.5,152400.0,0.81
258,2015-01-20,2623.5,2655.5,2661.0,2616.5,307940.0,-1.06
259,2015-01-21,2616.62,2615.5,2619.0,2592.5,328540.0,-0.26
260,2015-01-22,2575.74,2593.5,2598.0,2556.0,394740.0,-1.56
